date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260306,06:00 PM,St. John's,Seton Hall,St. John's,76.0,0.36,0.64,3.2,135,69,66,KXNCAAMBGAME-26MAR06SJUHALL,0.635,0.365,-174,174,KXNCAAMBSPREAD-26MAR06SJUHALL,-4.124999999999999,4.124999999999999,-0.9249999999999989,KXNCAAMBTOTAL-26MAR06SJUHALL,136.5625,-1.5625,70.34375,66.21875
20260306,04:00 PM,VCU,Dayton,Dayton,74.0,0.56,0.43999999999999995,-1.7,150,74,76,KXNCAAMBGAME-26MAR06VCUDAY,0.47,0.535,113,-115,KXNCAAMBSPREAD-26MAR06VCUDAY,1.6250000000000002,-1.6250000000000002,-0.07499999999999973,KXNCAAMBTOTAL-26MAR06VCUDAY,147.21428571428572,2.7857142857142776,72.79464285714286,74.41964285714286
20260306,05:00 PM,UCF,West Virginia,West Virginia,72.0,0.58,0.42000000000000004,-1.9,140,69,71,KXNCAAMBGAME-26MAR06UCFWVU,0.385,0.61,160,-156,KXNCAAMBSPREAD-26MAR06UCFWVU,3.74,-3.74,1.8400000000000003,KXNCAAMBTOTAL-26MAR06UCFWVU,139.38235294117646,0.6176470588235361,67.82117647058823,71.56117647058824
20260306,12:30 PM,Illinois Chicago,Murray St.,Illinois Chicago,66.0,0.44999999999999996,0.55,1.2,156,79,77,,,,,,,,,,,,,,
20260306,06:30 PM,Illinois St.,Northern Iowa,Northern Iowa,63.0,0.57,0.43000000000000005,-1.5,124,61,63,,,,,,,,,,,,,,
20260306,04:00 PM,Bradley,Valparaiso,Bradley,58.0,0.43999999999999995,0.56,1.5,141,71,70,,,,,,,,,,,,,,
20260306,03:30 PM,Bowling Green,Eastern Michigan,Bowling Green,55.0,0.47,0.53,0.7,137,69,68,KXNCAAMBGAME-26MAR06BGSUEMU,0.635,0.365,-174,174,KXNCAAMBSPREAD-26MAR06BGSUEMU,-4.214285714285714,4.214285714285714,-3.5142857142857142,KXNCAAMBTOTAL-26MAR06BGSUEMU,142.14285714285714,-5.142857142857139,73.17857142857143,68.96428571428571
20260306,07:00 PM,UNLV,San Diego St.,San Diego St.,54.0,0.87,0.13,-12.7,155,71,84,KXNCAAMBGAME-26MAR06UNLVSDSU,0.18,0.815,456,-441,KXNCAAMBSPREAD-26MAR06UNLVSDSU,10.227272727272727,-10.227272727272727,-2.4727272727272727,KXNCAAMBTOTAL-26MAR06UNLVSDSU,153.5,1.5,71.63636363636364,81.86363636363636
20260306,03:00 PM,Southern Miss,Texas St.,Texas St.,54.0,0.5,0.5,-0.1,141,70,71,KXNCAAMBGAME-26MAR06USMTXST,0.475,0.535,111,-115,KXNCAAMBSPREAD-26MAR06USMTXST,1.5,-1.5,1.4,KXNCAAMBTOTAL-26MAR06USMTXST,139.3125,1.6875,68.90625,70.40625
20260306,06:00 PM,Portland,Washington St.,Washington St.,53.0,0.66,0.33999999999999997,-4.4,154,75,79,KXNCAAMBGAME-26MAR06PORTWSU,0.305,0.7,228,-233,KXNCAAMBSPREAD-26MAR06PORTWSU,6.125,-6.125,1.7249999999999996,KXNCAAMBTOTAL-26MAR06PORTWSU,150.1,3.9000000000000057,71.9875,78.1125
